Player_name,NATIONALITY,team_name,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,four,five,dream_11_points,consistency
RAJadeja,IND,CSK,17.0,16.0,50.3,1.0,370.0,13.0,2/18,28.46,7.32,23.3,0.0,0.0,337.0,21.06
VShankar,IND,SRH,9.0,6.0,21.0,0.0,191.0,5.0,2/32,38.2,9.09,25.2,0.0,0.0,125.0,20.83
KHPandya,IND,MI,18.0,18.0,66.2,1.0,538.0,14.0,4/36,38.42,8.11,28.4,1.0,0.0,370.0,20.56
MRMarsh,INT,SRH,13.0,5.0,8.0,0.0,52.0,4.0,2/6,13.0,6.5,12.0,0.0,0.0,102.0,20.4
KAPollard,INT,MI,34.0,19.0,42.2,0.0,381.0,15.0,4/25,25.4,9.0,16.9,1.0,0.0,383.0,20.16
KSWilliamson,INT,SRH,36.0,4.0,8.0,0.0,44.0,3.0,2/16,14.66,5.5,16.0,0.0,0.0,79.0,19.75
GJMaxwell,INT,RCB,42.0,21.0,42.0,0.0,334.0,16.0,3/10,20.87,7.95,15.7,0.0,0.0,400.0,19.05
MohammadNabi,INT,SRH,37.0,36.0,111.4,0.0,847.0,27.0,4/10,31.37,7.58,24.8,1.0,0.0,683.0,18.97
SPNarine,INT,KKR,17.0,16.0,59.0,0.0,395.0,12.0,3/11,32.91,6.69,29.5,0.0,0.0,302.0,18.88
BAStokes,INT,RR,21.0,19.0,51.2,0.0,431.0,14.0,3/26,30.78,8.39,22.0,0.0,0.0,350.0,18.42
RAshwin,IND,DC,7.0,7.0,22.0,0.0,169.0,5.0,2/11,33.8,7.68,26.4,0.0,0.0,125.0,17.86
MCHenriques,INT,KXIP,10.0,6.0,15.0,0.0,124.0,4.0,3/22,31.0,8.26,22.5,0.0,0.0,100.0,16.67
JDSNeesham,INT,MI,16.0,11.0,20.3,0.0,251.0,7.0,2/10,35.85,12.24,17.5,0.0,0.0,169.0,15.36
BCJCutting,INT,KKR,3.0,3.0,10.0,0.0,116.0,2.0,1/38,58.0,11.6,30.0,0.0,0.0,46.0,15.33
ANortje,INT,DC,5.0,5.0,19.0,0.0,155.0,3.0,1/24,51.66,8.15,38.0,0.0,0.0,75.0,15.0
MPStoinis,INT,DC,27.0,17.0,41.2,0.0,346.0,10.0,2/27,34.6,8.37,24.8,0.0,0.0,250.0,14.71
MMAli,INT,CSK,21.0,19.0,46.2,0.0,418.0,10.0,2/21,41.8,9.02,27.8,0.0,0.0,250.0,13.16
ARPatel,IND,DC,8.0,8.0,27.0,0.0,187.0,4.0,2/20,46.75,6.92,40.5,0.0,0.0,102.0,12.75
JRHazlewood,INT,CSK,4.0,4.0,16.0,0.0,126.0,2.0,1/23,63.0,7.87,48.0,0.0,0.0,50.0,12.5
SDube,IND,RR,13.0,11.0,21.3,0.0,216.0,5.0,3/30,43.2,10.04,25.8,0.0,0.0,123.0,11.18
SKRaina,IND,CSK,20.0,8.0,15.0,0.0,129.0,3.0,1/4,43.0,8.6,30.0,0.0,0.0,75.0,9.38
RashidKhan,INT,SRH,1.0,1.0,4.0,0.0,19.0,0.0,0,0.0,4.75,0.0,0.0,0.0,6.0,6.0
JagadeeshaSuchith,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VaibhavArora,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGopal,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KKNair,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RParag,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTewatia,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMarkande,IND,RR,1.0,1.0,4.0,0.0,31.0,0.0,0,0.0,7.75,0.0,0.0,0.0,0.0,0.0
MVohra,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarbhajanSingh,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VenkateshIyer,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PawanNegi,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKLomror,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPGoswami,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KartikTyagi,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCButtler,INT,RR,35.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SVSamson,IND,RR,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
KMJadhav,IND,SRH,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AnujRawat,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WPSaha,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PriyamGarg,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBKJaiswal,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMiller,INT,RR,39.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
K.SBharat,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSLivingstone,INT,RR,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
VRVSingh,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChetanSakariya,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinnAllen,INT,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KyleJamieson,INT,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MohammedAzharuddeen,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RajatPatidar,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SachinBaby,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVPatel,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAWarner,INT,SRH,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
DanielSams,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbdulSamad,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPJackson,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KhaleelAhmed,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AbhishekSharma,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BasilThampi,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShahbazAhmed,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PavanDeshpande,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JasonHolder,INT,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JonnyBairstow,INT,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SandeepSharma,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DevduttPadikkal,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKPandey,IND,SRH,37.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ABdeVilliers,INT,RCB,11.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ASingh,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KuldipYadav,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SuyashPrabhudessai,IND,RCB,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCCariappa,IND,RR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNadeem,IND,SRH,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSDhoni,IND,CSK,34.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
CVVarun,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LukmanMeriwala,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPShaw,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRPant,IND,DC,32.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SDhawan,IND,DC,46.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SOHetmyer,INT,DC,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SPDSmith,INT,DC,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
RipalPatel,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VishnuVinod,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSiddharth,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TimSeifert,INT,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWBillings,INT,DC,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
RGSharma,IND,MI,54.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
APTare,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnukulRoy,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnmolpreetSingh,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALynn,INT,MI,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
IshanKishan,IND,MI,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
PDubey,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LalithYadav,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISharma,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRWoakes,INT,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMAsif,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FduPlessis,INT,CSK,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
NJagadeesan,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KVSharma,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSaiKishore,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVUthappa,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDGaikwad,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KrishnappaGowtham,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPujara,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarishankarReddy,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHariNishaanth,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BhagathVarma,IND,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSIyer,IND,DC,28.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AMRahane,IND,DC,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
AveshKhan,IND,DC,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JYadav,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QdeKock,INT,MI,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SSTiwary,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDKarthik,IND,KKR,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ShahrukhKhan,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RileyMeredith,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JalajSaxena,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UtkarshSingh,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRayudu,IND,CSK,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
SaurabhKumar,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJGMorgan,INT,KKR,44.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
KLNagarkoti,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DawidMalan,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRana,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPrasidhKrishna,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RATripathi,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSandeepWarrier,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RinkuSingh,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShivamMavi,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShubmanGill,IND,KKR,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JhyeRichardson,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SarfarazKhan,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAYadav,IND,MI,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
RBishnoi,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPChawla,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YudhvirCharak,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MarcoJansen,INT,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ArjunTendulkar,IND,MI,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLRahul,IND,KXIP,49.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
ArshdeepSingh,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DarshanNalkande,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJHooda,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarpreetBrar,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IshanPorel,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MandeepSingh,IND,KXIP,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
MAAgarwal,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAshwin,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPooran,INT,KXIP,27.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
PrabhsimranSingh,IND,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FabianAllen,INT,KXIP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTChristian,INT,RCB,1.0,1.0,0.3,0.0,7.0,0.0,0,0.0,14.0,0.0,0.0,0.0,-6.0,-6.0
